行政區名,_x0033_碼郵遞區號,中心點經度,中心點緯度,A1死亡人數,A1受傷人數,A2受傷人數,總受傷人數,總傷亡人數
臺中市清水區,436,120.5809094,24.29205743,13,8,1582,1590,1603
臺中市新社區,426,120.8313228,24.17769289,0,0,219,219,219
臺中市潭子區,427,120.710997,24.21171121,5,1,2318,2319,2324
臺中市龍井區,434,120.5283728,24.20062892,13,2,1682,1684,1697
臺中市豐原區,420,120.7375715,24.24990298,8,7,1805,1812,1820
臺中市霧峰區,413,120.7201989,24.04332785,8,0,1401,1401,1409
臺北市士林區,111,121.5508473,25.12546704,9,1,2970,2971,2980
臺北市大同區,103,121.5130417,25.06342433,5,2,2356,2358,2363
臺北市大安區,106,121.5434446,25.02677012,4,1,3619,3620,3624
臺北市中山區,104,121.5381597,25.06969917,5,1,4076,4077,4082
臺北市中正區,100,121.5198839,25.03240487,5,1,3212,3213,3218
臺北市內湖區,114,121.5923828,25.08370623,5,2,3080,3082,3087
臺北市文山區,116,121.5736082,24.98857934,2,3,2885,2888,2890
臺北市北投區,112,121.5177992,25.1480682,5,2,3289,3291,3296
臺北市松山區,105,121.5575876,25.05999101,3,0,1816,1816,1819
臺北市信義區,110,121.5716697,25.03062083,3,0,3069,3069,3072
臺北市南港區,115,121.6097573,25.03600934,7,2,1521,1523,1530
臺北市萬華區,108,121.4979858,25.0285899,7,3,2193,2196,2203
臺東縣大武鄉,965,120.8991703,22.38359522,1,0,47,47,48
臺東縣太麻里鄉,963,120.9797643,22.59098082,2,1,224,225,227
臺東縣成功鎮,961,121.3537983,23.12663716,9,4,166,170,179
臺東縣池上鄉,958,121.2184501,23.09248714,1,1,111,112,113
臺東縣卑南鄉,954,121.0015521,22.76494453,3,0,294,294,297
臺東縣延平鄉,953,120.9831902,22.90343174,0,0,10,10,10
臺東縣東河鄉,959,121.2517917,22.98006921,3,0,120,120,123
臺東縣金峰鄉,964,120.8570384,22.58161687,0,0,5,5,5
臺東縣長濱鄉,962,121.4261725,23.33476899,3,1,83,84,87
臺東縣海端鄉,957,121.0175672,23.11478528,1,0,23,23,24
臺東縣鹿野鄉,955,121.1560376,22.95125666,2,1,148,149,151
臺東縣達仁鄉,966,120.8355239,22.38430718,1,0,36,36,37
臺東縣綠島鄉,951,121.4901951,22.66017537,0,0,74,74,74
臺東縣臺東市,950,121.1103647,22.75165721,16,3,3180,3183,3199
臺東縣關山鎮,956,121.1766197,23.03780684,1,1,134,135,136
臺東縣蘭嶼鄉,952,121.5508328,22.04616835,2,1,100,101,103
臺南市七股區,724,120.1005854,23.12326578,5,3,295,298,303
臺南市下營區,735,120.26484,23.23103978,5,0,294,294,299
臺南市大內區,742,120.3988147,23.14482152,1,0,54,54,55
臺南市山上區,743,120.370977,23.09689329,1,0,129,129,130
臺南市中西區,700,120.192874,22.99594458,6,4,4453,4457,4463
臺南市仁德區,717,120.2418788,22.94130931,11,4,2116,2120,2131
臺南市六甲區,734,120.3800259,23.2272672,3,1,303,304,307
臺南市北門區,727,120.1262357,23.2777708,4,1,72,73,77
臺南市北區,704,120.2068735,23.01012179,2,1,4188,4189,4191
臺南市左鎮區,713,120.4123917,23.02604611,1,0,80,80,81
臺南市永康區,710,120.2542795,23.02729532,14,6,9372,9378,9392
臺南市玉井區,714,120.4609622,23.11480926,2,0,133,133,135
臺南市白河區,732,120.4578565,23.35132068,7,3,359,362,369
臺南市安平區,708,120.1649949,22.99008437,9,10,1549,1559,1568
臺南市安定區,745,120.2296235,23.09974927,7,1,726,727,734
臺南市安南區,709,120.1526189,23.04869681,14,2,4485,4487,4501
臺南市西港區,723,120.2002309,23.12491893,4,1,520,521,525
臺南市佳里區,722,120.178593,23.1669941,3,2,1304,1306,1309
臺南市官田區,720,120.3479918,23.19098548,4,0,407,407,411
臺南市東山區,733,120.4441211,23.2783187,3,0,182,182,185
臺南市東區,701,120.2281858,22.98178202,9,1,6315,6316,6325
臺南市南化區,716,120.5441223,23.1151111,1,0,40,40,41
臺南市南區,702,120.1903743,22.95561863,7,3,3215,3218,3225
臺南市後壁區,731,120.3485081,23.36201478,5,0,282,282,287
臺南市柳營區,736,120.3549205,23.26887001,5,0,313,313,318
臺南市將軍區,725,120.1276958,23.20834413,1,0,148,148,149
臺南市麻豆區,721,120.241308,23.18248033,10,1,1076,1077,1087
臺南市善化區,741,120.2988274,23.14031072,7,1,1524,1525,1532
臺南市新化區,712,120.3357964,23.03394545,4,1,1064,1065,1069
臺南市新市區,744,120.2923941,23.08319496,5,2,1623,1625,1630
臺南市新營區,730,120.2954067,23.30152488,8,7,1297,1304,1312
臺南市楠西區,715,120.5170304,23.17885854,1,0,57,57,58
臺南市學甲區,726,120.1841865,23.25219805,8,1,307,308,316
臺南市龍崎區,719,120.3869373,22.95482276,2,0,59,59,61
臺南市歸仁區,711,120.2930627,22.94679469,6,2,1265,1267,1273
臺南市關廟區,718,120.3342821,22.95577909,4,1,393,394,398
臺南市鹽水區,737,120.2482977,23.29798622,5,2,270,272,277
澎湖縣七美鄉,883,119.43393,23.20108,0,0,12,12,12
澎湖縣白沙鄉,884,119.59251,23.64178,0,0,117,117,117
澎湖縣西嶼鄉,881,119.50783,23.59975,1,0,78,78,79
澎湖縣馬公市,880,119.59234,23.55534,3,1,1135,1136,1139
澎湖縣望安鄉,882,119.50406,23.36904,0,0,2,2,2
澎湖縣湖西鄉,885,119.64462,23.57364,4,0,139,139,143
